4.037240,1024,8
12.061690,2048,8
28.075880,4096,8
60.349419,8192,8
124.768417,16384,8
255.716507,32768,8
533.366394,65536,8
1044.500366,131072,8
2069.800537,262144,8
4130.299316,524288,8
8264.829102,1048576,8
16508.580078,2097152,8
16510.593750,1024,16
16514.585938,2048,16
16522.556641,4096,16
16538.445312,8192,16
16570.244141,16384,16
16633.884766,32768,16
16761.064453,65536,16
17016.816406,131072,16
17532.384766,262144,16
18567.251953,524288,16
20628.619141,1048576,16
24735.488281,2097152,16
24736.533203,1024,32
24738.580078,2048,32
24742.580078,4096,32
24750.804688,8192,32
24767.585938,16384,32
24801.113281,32768,32
24867.566406,65536,32
24997.591797,131072,32
25253.283203,262144,32
25768.703125,524288,32
26819.912109,1048576,32
28934.886719,2097152,32
28935.414062,1024,64
28936.439453,2048,64
28938.468750,4096,64
28942.525391,8192,64
28950.535156,16384,64
28966.832031,32768,64
28999.185547,65536,64
29064.173828,131072,64
29194.421875,262144,64
29451.888672,524288,64
29997.544922,1048576,64
31062.873047,2097152,64
31063.134766,1024,128
31063.660156,2048,128
31064.689453,4096,128
31066.703125,8192,128
31070.697266,16384,128
31078.671875,32768,128
31094.582031,65536,128
31126.361328,131072,128
31190.402344,262144,128
31321.984375,524288,128
31597.015625,1048576,128
32174.591797,2097152,128
32174.736328,1024,256
32175.009766,2048,256
32175.548828,4096,256
32176.583984,8192,256
32178.623047,16384,256
32182.708984,32768,256
32190.794922,65536,256
32206.968750,131072,256
32239.919922,262144,256
32305.263672,524288,256
32445.371094,1048576,256
32758.052734,2097152,256
32758.128906,1024,512
32758.269531,2048,512
32758.539062,4096,512
32759.076172,8192,512
32760.113281,16384,512
32762.183594,32768,512
32766.279297,65536,512
32774.593750,131072,512
32791.109375,262144,512
32824.082031,524288,512
32896.964844,1048576,512
33072.480469,2097152,512
33072.527344,1024,1024
33072.601562,2048,1024
33072.738281,4096,1024
33073.000000,8192,1024
33073.527344,16384,1024
33074.554688,32768,1024
33076.578125,65536,1024
33080.687500,131072,1024
33088.746094,262144,1024
33104.957031,524288,1024
33141.039062,1048576,1024
33231.847656,2097152,1024
33231.898438,1024,2048
33231.945312,2048,2048
33232.019531,4096,2048
33232.156250,8192,2048
33232.417969,16384,2048
33232.949219,32768,2048
33234.003906,65536,2048
33236.082031,131072,2048
33240.113281,262144,2048
33248.269531,524288,2048
33264.570312,1048576,2048
33301.929688,2097152,2048
33301.976562,1024,4096
33302.019531,2048,4096
33302.062500,4096,4096
33302.136719,8192,4096
33302.273438,16384,4096
33302.535156,32768,4096
33303.070312,65536,4096
33304.160156,131072,4096
33306.171875,262144,4096
33310.296875,524288,4096
33318.382812,1048576,4096
33334.695312,2097152,4096
33334.738281,1024,8192
33334.781250,2048,8192
33334.824219,4096,8192
33334.867188,8192,8192
33334.941406,16384,8192
33335.078125,32768,8192
33335.339844,65536,8192
33335.871094,131072,8192
33336.894531,262144,8192
33338.929688,524288,8192
33343.046875,1048576,8192
33351.132812,2097152,8192
